upstream_sha	date	subject	bucket	disposition	rayn_sha	invariant	evidence	reviewer	campaign
15aa004f08dcc67fc791c1d254fa4c0b8e28bc40	2026-06-09	feat: add Psiphon translations and fix warp message trailing periods	NOISE	REJECT-DEAD			Mechanical: non-English locale files only, for features this fork does not have. Translations are a derived artefact here and are never cherry-picked; en.i18n.json is swept separately at the end of a campaign.	claude	2026-08
fb1dc8ff931e8e2eefa3cd8d17cc0cdc6fb8a085	2026-06-09	feat: add Psiphon license translations and update WARP messages	NOISE	REJECT-DEAD			Mechanical: non-English locale files only, for features this fork does not have. Translations are a derived artefact here and are never cherry-picked; en.i18n.json is swept separately at the end of a campaign.	claude	2026-08
46101cb581c702f2067ec6f3159cd157e0effceb	2026-06-09	fix: add missing required text to fa WARP missingLicense translation	NOISE	REJECT-DEAD			Mechanical: non-English locale files only, for features this fork does not have. Translations are a derived artefact here and are never cherry-picked; en.i18n.json is swept separately at the end of a campaign.	claude	2026-08
9b0efc542221cb7c9208291e5715b5c8310c244f	2026-06-09	fix: correct Turkish translation for WARP license required	NOISE	REJECT-DEAD			Mechanical: non-English locale files only, for features this fork does not have. Translations are a derived artefact here and are never cherry-picked; en.i18n.json is swept separately at the end of a campaign.	claude	2026-08
0f3c3705456b2bfe02c4631ae0389c37588847d6	2026-06-10	feat: add common.file translation to multiple languages	NOISE	REJECT-DEAD			Mechanical: non-English locale files only, for features this fork does not have. Translations are a derived artefact here and are never cherry-picked; en.i18n.json is swept separately at the end of a campaign.	claude	2026-08
54842a2d8ffb248fbbf73ddfa019983ed4d73305	2026-06-10	chore: regenerate protobuf bindings	GEN	REJECT-DEAD			Mechanical: tracked-generated output only. Regenerated from this forks own core via make generate_dart_protoc, never picked -- a .pb.dart that does not match the .proto is a silent wire-protocol mismatch that only fails at runtime.	claude	2026-08
82ba58338e1173004ae1cacba52f4e1c874f1cb0	2026-06-10	chore: sync proto files from hiddify-core	GEN	REJECT-DEAD			Mechanical: tracked-generated output only. Regenerated from this forks own core via make generate_dart_protoc, never picked -- a .pb.dart that does not match the .proto is a silent wire-protocol mismatch that only fails at runtime.	claude	2026-08
0242b0cdd44ae4f1a3774a3324954c922ea9bea6	2026-06-10	refactor: resolve LAN IP via core RPC in settings	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
23f70ace4c69225294ca678b9bcdc631dc3f2365	2026-06-10	fix: resolve ChainTimelineHeader background visibility in light theme	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
38a4f4d8a9bcadb3b5a9fc2f8551a2d4e700eeda	2026-06-10	fix: correct arrow icon direction in chain quick settings	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
fbf6abc68b8603513348b770beccb50096d31774	2026-06-13	feat: update Spanish pages.settings.inbound translations to match en	NOISE	REJECT-DEAD			Mechanical: non-English locale files only, for features this fork does not have. Translations are a derived artefact here and are never cherry-picked; en.i18n.json is swept separately at the end of a campaign.	claude	2026-08
811f3dcf0415a2a466c769fb59c9fc452d9a4fdd	2026-06-13	fix: update non-English translations for LAN sharing settings	NOISE	REJECT-DEAD			Mechanical: non-English locale files only, for features this fork does not have. Translations are a derived artefact here and are never cherry-picked; en.i18n.json is swept separately at the end of a campaign.	claude	2026-08
d03318f7bfa03cf36dd7d055400682c6bf484bb7	2026-06-13	fix: update Turkish i18n strings for LAN sharing	NOISE	REJECT-DEAD			Mechanical: non-English locale files only, for features this fork does not have. Translations are a derived artefact here and are never cherry-picked; en.i18n.json is swept separately at the end of a campaign.	claude	2026-08
ad2af9fe572eabf8933370c1644defbdb129cb03	2026-06-15	feat(routing): add routeRule parameter to RoutingOptionsPage and import rules from deep link	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
ca7c2bd5d80af8bde54d4022cf52c73a5c2f9a47	2026-06-15	feat(routing): enhance clipboard import/export with deep link support	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
b7931f184d7d8a2471fc2a31d873099030457235	2026-06-15	feat: add importRouteRuleByDeepLinkWarning translations for other languages	NOISE	REJECT-DEAD			Mechanical: non-English locale files only, for features this fork does not have. Translations are a derived artefact here and are never cherry-picked; en.i18n.json is swept separately at the end of a campaign.	claude	2026-08
8b07547b602399b95deab49fb20f6bd8b7cea5cf	2026-06-15	feat: add importRouteRuleByDeepLinkWarning translations	NOISE	REJECT-DEAD			Mechanical: non-English locale files only, for features this fork does not have. Translations are a derived artefact here and are never cherry-picked; en.i18n.json is swept separately at the end of a campaign.	claude	2026-08
bf1006d90e541e349720dc6b5354eddfe1e3a916	2026-06-12	Guard notifications against a missing toast overlay	CLEAN	REJECT-DEAD			E3: no failure reachable here. inAppNotificationControllerProvider has no consumers outside its own generated file - this fork replaced the toastification surface with its own bell inbox and swipe banner. The controller is orphaned, so guarding it against a missing overlay changes nothing a user can see.	claude	2026-08
98bd20bdafa75fc051179782b4df19107a7625fb	2026-05-17	ui: improve toast positioning to prevent overlapping with main page elements	CLEAN	REJECT-DEAD			E3: same orphaned controller as bf1006d9. Repositions a toast this fork never shows.	claude	2026-08
ce76702c2d6002ca8b7158d1ee44e19c07b8e6b2	2026-05-17	refactor: change port range separator from '-' to ':' to simplify GenericListPage and notifier logic by eliminating the need for conversion during read/write	CLEAN	REJECT-DEAD			E3: the port-range validator in lib/utils/validators.dart has no callers. It existed for the route-rule editor, deleted with lib/features/route_rules/. The only surviving portRange references are in generated protobuf.	claude	2026-08
14654bd0e4b3f57c3961b994154797498e386b2c	2026-06-10	chore(makefile): optimize Linux docker builds and fix core download URL	HOT	REJECT-DESIGN		never-adopt-prebuilt-core-url	E2 HIT. Repoints CORE_URL from hiddify-next-core to hiddify-core releases - the download URL used by the windows-libs / android-libs / *-libs targets, which pull Hiddifys PREBUILT core over a custom build. Those targets are fenced off (CORE_BUILD.md, METHODOLOGY.md Never). Fixing their URL has no value here and makes a forbidden path look maintained. The linux-docker-release changes are for a target this fork does not use.	claude	2026-08
3d9f7c933e958da0cac64a1f28dcff97edfdec09	2026-06-13	fix(profile): treat subscription-userinfo total=0 as unlimited (#1974)	CLEAN	TAKE	55423269cebb713043d63b7bcf462bc9e78fcc30		E1: fork had the old ~857 GiB constant at profile_parser.dart:54. NOTE the total==0 guard the subject implies was ALREADY at the merge base - this commit is the constant, not the guard, and judging by subject alone would have rejected it as a duplicate. E3: notification_evaluator.dart:31 gates quota alerts on total > threshold, so every plan above ~857 GiB was classified unlimited and got no 80/90/100% notifications.	claude	2026-08
6b116d2fcc1bca1f29acb46c8bcd8762ad5b9ff2	2026-06-12	Make hiddify-core init non-fatal during bootstrap	HOT	ADAPT	542073345bf708a59f3b9844150f54024faf9e30		E1: fork had the unpatched await _init("hiddify-core", ...) at bootstrap.dart:118. E3: _init rethrows, so a core init failure killed lazyBootstrap and the app did not start at all. Every other fallible step there is already _safeInit. ADAPT: provider and label renamed to rayn-core.	claude	2026-08
116c79e7979d4cbecd7c4eaaea401c81220afbd5	2026-05-21	fix: temporarily patch Riverpod lazy build-phase collision on connection status changes	HOT	ADAPT	2f763cb1918d1b8ad9f5497c83d094c4f3f05037		E1: fork had none of it - four notifiers still carried async* + await ref.watch(x.future). E3: structurally exposed via connection_button.dart:26-27, which watches connectionNotifierProvider and activeProxyNotifierProvider in one build. ADAPT: the config_option_notifier hunk cannot apply (fork gutted it 174->39 lines); a fork-only sixth consumer (proxy_snapshot_notifier) had to be converted too; ProxiesOverviewNotifier keeps async* for its pre-connect branch and the coreRestartSignal watches are retained deliberately.	claude	2026-08
ac4d26fd8fcbd9e9efe8cb2c9a5f60905f330cc2	2026-06-10	Fix AppImage launch crashes with launcher %u args and enable deep-linking	CLEAN	ADAPT	87c3af8ed7a32566e787c938ba3b480a83d2e891		E1: the forks only AppRun edits were branding, so the argument-handling block was upstreams and carried the bug. E3: a .desktop Exec placeholder (%u) reached the case statement as a real argument and could crash the launch. ADAPT: upstreams new default branch arrives as exec ./hiddify, which does not exist in a Rayn AppImage - retargeted to ./RaynVPN. The pick merged cleanly and still needed fixing.	claude	2026-08
e6822e2c8a1a055372a8a90146e2e697220af16a	2026-05-08	feat(db): migrate to v6 to replace profileOverride with dynamic generation	HOT	REJECT-DESIGN		profile-override-is-the-backend-channel	E2 HIT. Upstream v6 is dropColumn(profileEntries, profile_override). This fork still uses that column as the backend per-subscription config channel: profile_parser.dart:601-615 filters the subscription headers to allowedOverrideConfigs and persists them there, and connection_repository.dart:153 merges them over the options at connect. Dropping it would sever the mechanism that lets the backend retune remote-dns-address, block-quic, url-test-tolerance etc without a client rebuild - the reason several settings were removable from the UI. Separately, per DESIGN-INVARIANTS.md#drift-schema-numbering this fork is at schemaVersion 10 and owns v6-v10, with shipped installs pinned to ITS v6, so upstream v6 could never be taken as-is regardless.	claude	2026-08
30f30f5d78205e27fa9fc81dc05832c69f1c09db	2026-05-08	refactor(profile): replace static profileOverride with dynamic generation	SPLIT	REJECT-DESIGN		profile-override-is-the-backend-channel	E2 HIT. The pair to e6822e2c: replaces the stored override with dynamic regeneration via ProfileParser.profileOverrideHelper(profile:), which is what makes dropping the column possible upstream. Not portable here - this fork discards the unfiltered headers at parse time and populated_headers holds a different subset (billing period, payment provider, manage URL), so there is nothing left to regenerate from. Would require persisting something else first, for no user-visible benefit, against a profile layer that is 60-92% rewritten.	claude	2026-08
0299c1ccb5cfca22b04c8ebe0224ae643ad4a244	2026-06-11	pubspec.yaml: remove unused packages	HOT	ADAPT	aeb4dc15ca2a091325608dbe0a9c33dda70d0157		E1: fork still carried all of them. E3: verified unused HERE - zero imports across lib/, test/, tool/, pigeons/ for combine, flutter_loggy, flutter_loggy_dio, watcher, posix, animated_notch_bottom_bar, showcaseview, bottom_navy_bar; dependency_validator is a dev CLI that sat under dependencies: (so it shipped) and is invoked from no Makefile target, workflow or script. ADAPT: basic_utils keeps its exact 5.7.0 pin rather than upstreams ^5.7.0 - it backs the gRPC mTLS credentials in mtls_channel_cred.dart.	claude	2026-08
3f60de6852cc9aeacde3962b47f22ef8080ec37a	2026-06-10	build: update dependencies and remove unused packages	HOT	REJECT-DESIGN		#fork-owns-its-dependency-set	REJECTED 2026-08-03 by product decision: computed against upstream import graph, not ours; we already removed our own unused deps, and the protobuf-5 half would regenerate the gRPC bindings where a wire mismatch fails only at runtime. || Split. The dependency removals it shares with 0299c1cc landed there (bottom_navy_bar; network_info_plus was already gone). What is left is protobuf ^2.0.0 -> ^5.0.0, and that DOES NOT BUILD: tried it, and lib/hiddifycore/generated/google/protobuf/timestamp.pb.dart fails with 2 errors, "The named parameter toProto3Json isnt defined" and the same for fromProto3Json. That directory is TRACKED generated output from an older protoc_plugin, so the runtime bump needs regeneration, not a constraint edit. TRIGGER: take it together with `make generate_dart_protoc` run against a protoc_plugin that emits protobuf-5-compatible code, in one commit. OWNER: user.	claude	2026-08
e7ed62a8a30eac20cad9ddcaf50983e61c3c5669	2026-05-08	feat(chain): add chain options page, devtools configuration, and native dependencies	SPLIT	REJECT-DEAD			Proxy chaining. This fork has no chain feature: lib/features/chain/ was never created here, the chain quick-settings and timeline UI do not exist, and the singbox chain models were not adopted. These commits reach surviving files only through shared enums, config_option_repository.dart or en.i18n.json. fc4631ad is the same feature under another name - it adds enable-psiphon to allowedOverrideConfigs and maps it to a chain-status/extra-security header; nothing else rides along.	claude	2026-08
9651650182a7f27ef95c96f9a99b3dcebb4d66a0	2026-05-08	feat(chain): implement state management and settings integration	SPLIT	REJECT-DEAD			Proxy chaining. This fork has no chain feature: lib/features/chain/ was never created here, the chain quick-settings and timeline UI do not exist, and the singbox chain models were not adopted. These commits reach surviving files only through shared enums, config_option_repository.dart or en.i18n.json. fc4631ad is the same feature under another name - it adds enable-psiphon to allowedOverrideConfigs and maps it to a chain-status/extra-security header; nothing else rides along.	claude	2026-08
1e53f27e3cda8cc4db75fb9ea0fb91be565453ce	2026-05-08	feat(chain): initialize chain providers and integrate into quick settings	SPLIT	REJECT-DEAD			Proxy chaining. This fork has no chain feature: lib/features/chain/ was never created here, the chain quick-settings and timeline UI do not exist, and the singbox chain models were not adopted. These commits reach surviving files only through shared enums, config_option_repository.dart or en.i18n.json. fc4631ad is the same feature under another name - it adds enable-psiphon to allowedOverrideConfigs and maps it to a chain-status/extra-security header; nothing else rides along.	claude	2026-08
3383d5131803a34f8a02ec2209254e3cbd428f9e	2026-05-08	feat(singbox): add foundational models and constants for chain functionality	SPLIT	REJECT-DEAD			Proxy chaining. This fork has no chain feature: lib/features/chain/ was never created here, the chain quick-settings and timeline UI do not exist, and the singbox chain models were not adopted. These commits reach surviving files only through shared enums, config_option_repository.dart or en.i18n.json. fc4631ad is the same feature under another name - it adds enable-psiphon to allowedOverrideConfigs and maps it to a chain-status/extra-security header; nothing else rides along.	claude	2026-08
702dd17ec2921720efb7b48a872d92eb61601637	2026-05-08	feat(ui): refine routing and core widgets for chain integration	SPLIT	REJECT-DEAD			Proxy chaining. This fork has no chain feature: lib/features/chain/ was never created here, the chain quick-settings and timeline UI do not exist, and the singbox chain models were not adopted. These commits reach surviving files only through shared enums, config_option_repository.dart or en.i18n.json. fc4631ad is the same feature under another name - it adds enable-psiphon to allowedOverrideConfigs and maps it to a chain-status/extra-security header; nothing else rides along.	claude	2026-08
f996c5e2b7e2ae54182f118456f75afae1f41e27	2026-05-08	i18n: add chain translations for en	HOT	REJECT-DEAD			Proxy chaining. This fork has no chain feature: lib/features/chain/ was never created here, the chain quick-settings and timeline UI do not exist, and the singbox chain models were not adopted. These commits reach surviving files only through shared enums, config_option_repository.dart or en.i18n.json. fc4631ad is the same feature under another name - it adds enable-psiphon to allowedOverrideConfigs and maps it to a chain-status/extra-security header; nothing else rides along.	claude	2026-08
6b4b151078a75bf49eeefb6a954ad4bad4507e18	2026-05-09	feat(chain): add conduit pairing ID with localized translations	SPLIT	REJECT-DEAD			Proxy chaining. This fork has no chain feature: lib/features/chain/ was never created here, the chain quick-settings and timeline UI do not exist, and the singbox chain models were not adopted. These commits reach surviving files only through shared enums, config_option_repository.dart or en.i18n.json. fc4631ad is the same feature under another name - it adds enable-psiphon to allowedOverrideConfigs and maps it to a chain-status/extra-security header; nothing else rides along.	claude	2026-08
add4d5f7e6fa41e4c708aa44e332040875f5e220	2026-05-18	Move chain section and rename routeOptions to routingOptions	HOT	REJECT-DEAD			Proxy chaining. This fork has no chain feature: lib/features/chain/ was never created here, the chain quick-settings and timeline UI do not exist, and the singbox chain models were not adopted. These commits reach surviving files only through shared enums, config_option_repository.dart or en.i18n.json. fc4631ad is the same feature under another name - it adds enable-psiphon to allowedOverrideConfigs and maps it to a chain-status/extra-security header; nothing else rides along.	claude	2026-08
31528570606df085e35fcaf32880fd5269ca8a91	2026-05-18	replace IconButton with ExpandButton for Quick Settings and improve quickSettings translations	HOT	REJECT-DEAD			Proxy chaining. This fork has no chain feature: lib/features/chain/ was never created here, the chain quick-settings and timeline UI do not exist, and the singbox chain models were not adopted. These commits reach surviving files only through shared enums, config_option_repository.dart or en.i18n.json. fc4631ad is the same feature under another name - it adds enable-psiphon to allowedOverrideConfigs and maps it to a chain-status/extra-security header; nothing else rides along.	claude	2026-08
fc4631ad3d21518f0822add7846df6686d9b624a	2026-06-09	feat: add Psiphon override support and unified chain license flow	SPLIT	REJECT-DEAD			Proxy chaining. This fork has no chain feature: lib/features/chain/ was never created here, the chain quick-settings and timeline UI do not exist, and the singbox chain models were not adopted. These commits reach surviving files only through shared enums, config_option_repository.dart or en.i18n.json. fc4631ad is the same feature under another name - it adds enable-psiphon to allowedOverrideConfigs and maps it to a chain-status/extra-security header; nothing else rides along.	claude	2026-08
350f943724e3801c7c4be5bff2e077a929a41ef3	2026-05-17	Merge route rule with route options and add rule and genericList GoRoutes as sub-routes of routingOptions. Also, move save logic from PopScope to onExit in the rule GoRoute.	HOT	REJECT-DEAD			Route-rule editor and the routing_options_page consolidation. lib/features/route_rules/ (15 files) and the route/DNS/inbound settings sub-pages were deleted from this fork; the routing surface it is being consolidated INTO does not exist here. Surviving-path contact is routing_config_notifier.dart, whose route table this fork replaced wholesale, plus translation keys.	claude	2026-08
8b0d8c2f90985ab339b9bd0d42e6fee2496e7c9e	2026-05-17	chore(i18n): restructure routing and route rule translation keys	HOT	REJECT-DEAD			Route-rule editor and the routing_options_page consolidation. lib/features/route_rules/ (15 files) and the route/DNS/inbound settings sub-pages were deleted from this fork; the routing surface it is being consolidated INTO does not exist here. Surviving-path contact is routing_config_notifier.dart, whose route table this fork replaced wholesale, plus translation keys.	claude	2026-08
077ad30c9fad03acf4bdaf2c05bde91da78b1b04	2026-05-17	refactor: GoRoute paths and names, removing redundant slashes	HOT	REJECT-DEAD			Route-rule editor and the routing_options_page consolidation. lib/features/route_rules/ (15 files) and the route/DNS/inbound settings sub-pages were deleted from this fork; the routing surface it is being consolidated INTO does not exist here. Surviving-path contact is routing_config_notifier.dart, whose route table this fork replaced wholesale, plus translation keys.	claude	2026-08
5af58716a0c57bfc007588b1dad3c74f891a1c7e	2026-05-17	refactor: rename translation keys in i18n files	SPLIT	REJECT-DEAD			Route-rule editor and the routing_options_page consolidation. lib/features/route_rules/ (15 files) and the route/DNS/inbound settings sub-pages were deleted from this fork; the routing surface it is being consolidated INTO does not exist here. Surviving-path contact is routing_config_notifier.dart, whose route table this fork replaced wholesale, plus translation keys.	claude	2026-08
f5d66ff7b6369e64e824833cd504705aa0c7fcf0	2026-05-17	save route general options expansion state for better UX	HOT	REJECT-DEAD			Route-rule editor and the routing_options_page consolidation. lib/features/route_rules/ (15 files) and the route/DNS/inbound settings sub-pages were deleted from this fork; the routing surface it is being consolidated INTO does not exist here. Surviving-path contact is routing_config_notifier.dart, whose route table this fork replaced wholesale, plus translation keys.	claude	2026-08
e5fed9ca6ed4e6f418f2fa8f8f845539b33340f7	2026-05-18	update sing box repo and model for adding route rule and removing blockAds and bypassLan	HOT	REJECT-DEAD			Route-rule editor and the routing_options_page consolidation. lib/features/route_rules/ (15 files) and the route/DNS/inbound settings sub-pages were deleted from this fork; the routing surface it is being consolidated INTO does not exist here. Surviving-path contact is routing_config_notifier.dart, whose route table this fork replaced wholesale, plus translation keys.	claude	2026-08
3fc523ce617645af7c1dce89404f7be20ccb7828	2026-06-15	feat(routing): enhance deep link handling and add routeRule parameter to RoutingOptionsPage	HOT	REJECT-DEAD			Route-rule editor and the routing_options_page consolidation. lib/features/route_rules/ (15 files) and the route/DNS/inbound settings sub-pages were deleted from this fork; the routing surface it is being consolidated INTO does not exist here. Surviving-path contact is routing_config_notifier.dart, whose route table this fork replaced wholesale, plus translation keys.	claude	2026-08
f9686c9c5523c9031b5d0a0403da00458faaaebb	2026-06-15	translations: add dialogs.confirmation.importRouteRuleByDeepLinkWarning	HOT	REJECT-DEAD			Route-rule editor and the routing_options_page consolidation. lib/features/route_rules/ (15 files) and the route/DNS/inbound settings sub-pages were deleted from this fork; the routing surface it is being consolidated INTO does not exist here. Surviving-path contact is routing_config_notifier.dart, whose route table this fork replaced wholesale, plus translation keys.	claude	2026-08
f5d01fd67500c85b510da6acaf40c3599b16ae4c	2026-06-13	feat(settings): implement LAN sharing functionality with password support and UI integration (adding to quick settings section)	SPLIT	REJECT-DEAD			LAN sharing and the VPN-share password. allowConnectionFromLan is hardcoded false in config_option_repository.dart and the settings surface for it was removed; see also the DEFERred core commit 2b5f099b (GetLANIP), which exists to feed this same feature. 13c24d58 adds a trailing-widget slot to ValuePreferenceWidget specifically to host the password field, and has no other consumer here.	claude	2026-08
9de86aa4de905916fa4c2c7eb68bcff28ef7c8c6	2026-06-13	feat(settings): move VPN sharing password to config options and exclude from export	SPLIT	REJECT-DEAD			LAN sharing and the VPN-share password. allowConnectionFromLan is hardcoded false in config_option_repository.dart and the settings surface for it was removed; see also the DEFERred core commit 2b5f099b (GetLANIP), which exists to feed this same feature. 13c24d58 adds a trailing-widget slot to ValuePreferenceWidget specifically to host the password field, and has no other consumer here.	claude	2026-08
961f6115346a45e28b87fe18dc702a73d4818ca4	2026-06-11	feat(settings): add new port configuration options and integrate with inbound options page	SPLIT	REJECT-DEAD			LAN sharing and the VPN-share password. allowConnectionFromLan is hardcoded false in config_option_repository.dart and the settings surface for it was removed; see also the DEFERred core commit 2b5f099b (GetLANIP), which exists to feed this same feature. 13c24d58 adds a trailing-widget slot to ValuePreferenceWidget specifically to host the password field, and has no other consumer here.	claude	2026-08
13c24d58dfe6a1842d3b091fe146f26e9575525a	2026-06-11	feat(settings): add trailing widget support to ValuePreferenceWidget and implement SwitchPreferenceWidget	HOT	REJECT-DEAD			LAN sharing and the VPN-share password. allowConnectionFromLan is hardcoded false in config_option_repository.dart and the settings surface for it was removed; see also the DEFERred core commit 2b5f099b (GetLANIP), which exists to feed this same feature. 13c24d58 adds a trailing-widget slot to ValuePreferenceWidget specifically to host the password field, and has no other consumer here.	claude	2026-08
c2f9ac72ce1d47414fda66f9c4417e6e35fd2969	2026-06-10	feat: add file import option for profiles and adjust modal grid layout	SPLIT	REJECT-DEAD			Re-opens profile-import surface this fork deliberately closed. Import is rayn://import/<token> only - legacy schemes, raw https paste, base64 config paste, the manual-URL form and the ?url= parameter were all removed, and there is no live deep-link import path (deepLinkNotifierProvider is commented out at bootstrap.dart:123). File import and a triggeredByDeepLink flag both presuppose entry points that are gone.	claude	2026-08
c2db7f09f1dbfaf1a25c3a0aa9831240c3f8eed2	2026-06-10	fix(router): pass triggeredByDeepLink flag when auto-importing profiles	HOT	REJECT-DEAD			Re-opens profile-import surface this fork deliberately closed. Import is rayn://import/<token> only - legacy schemes, raw https paste, base64 config paste, the manual-URL form and the ?url= parameter were all removed, and there is no live deep-link import path (deepLinkNotifierProvider is commented out at bootstrap.dart:123). File import and a triggeredByDeepLink flag both presuppose entry points that are gone.	claude	2026-08
d05adc6136c5aaeea2d0d3713900dfd8581e7109	2026-05-31	refactor: rename addProfileFromLink key and add translations	SPLIT	REJECT-DEAD			Re-opens profile-import surface this fork deliberately closed. Import is rayn://import/<token> only - legacy schemes, raw https paste, base64 config paste, the manual-URL form and the ?url= parameter were all removed, and there is no live deep-link import path (deepLinkNotifierProvider is commented out at bootstrap.dart:123). File import and a triggeredByDeepLink flag both presuppose entry points that are gone.	claude	2026-08
837d2e7be05ff5d4a8cbe138804be5a268ab7007	2026-04-22	improve dmg background hint (prevent window height bug)	CLEAN	REJECT-DEAD			Upstream iOS/macOS packaging and app-icon assets: Hiddify branding, its dmg background and its Liquid Glass icon set. This fork is rebranded with its own launcher icons and packaging config, so these would overwrite deliberate work with upstream artwork.	claude	2026-08
84f812e6e4ec69d011f004f43a774ea4085bc75c	2026-04-26	add background.png for macos dmg	CLEAN	REJECT-DEAD			Upstream iOS/macOS packaging and app-icon assets: Hiddify branding, its dmg background and its Liquid Glass icon set. This fork is rebranded with its own launcher icons and packaging config, so these would overwrite deliberate work with upstream artwork.	claude	2026-08
